No	Ref	V	B-V	U-B	N
0001	1367	13.59	+0.57	+0.06	2
0003	1367	12.89	+0.54	+0.08	2
0004	1367	12.77	+0.95	+0.69	1
0005	1367	13.05	+0.60	+0.07	1
0006	1367	12.82	+0.55	+0.03	1
0007	1367	14.05	+0.61	+0.11	2
0009	1367	13.45	+0.56	+0.07	2
0011	1367	13.62	+0.66	+0.09	1
0013	1367	14.29	+0.62	+0.07	1
0014	1367	13.90	+0.59	+0.01	1
0015	59	13.61	+0.55	+0.04	1
0015	1367	13.59	+0.56	+0.05	1
0016	1367	12.69	+0.51	-0.01	1
0017	1367	14.09	+0.65	+0.07	2
0018	1367	12.75	+0.56	+0.04	1
0019	1367	14.09	+0.59	+0.01	3
0020	59	12.95	+0.87	+0.475	2
0020	1367	12.93	+0.86	+0.47	2
0022	1367	12.65	+0.47	-0.12	1
0023	59	12.66	+0.54	-0.01	1
0024	59	13.31	+0.58	+0.07	1
0027	59	13.59	+0.67	+0.10	1
0028	1367	12.77	+0.55	+0.04	1
0030	59	12.04	+0.60	+0.08	1
0030	1367	12.00	+0.58	+0.10	1
0030	2004	11.93	+0.53	+0.19	2
0032	1367	13.35	+0.58	+0.03	1
0033	1367	14.11	+0.59	+0.05	1
0034	1367	13.10	+0.59	+0.04	1
0035	1367	14.11	+0.61	+0.08	2
0037	59	12.89	+0.98	+0.65	2
0038	1367	14.02	+0.58	+0.09	2
0039	59	13.57	+0.49	-0.01	1
0040	59	13.79	+0.57	+0.05	1
0041	1367	13.22	+0.58	+0.02	1
0042	59	13.51	+0.61	+0.06	1
0043	59	13.44	+0.635	+0.06	2
0046	59	12.79	+0.815	+0.38	2
0048	59	12.77	+0.745	+0.26	2
0048	1367	12.75	+0.75	+0.26	2
0049	59	13.44	+0.60	+0.04	1
0051	59	12.69	+0.62	+0.09	1
0052	59	13.52	+0.60	+0.07	2
0054	59	12.65	+0.63	+0.10	1
0054	700	12.66	+0.621	+0.138	1
0054	752	12.669	+0.604		5
0055	59	11.32	+0.295	+0.125	2
0055	752	11.333	+0.281		5
0055	1367	11.33	+0.29	+0.15	7
0055	2004	11.34	+0.28	+0.13	4
0055	2037	11.316	+0.299		17
0057	1367	13.55	+0.55	+0.07	1
0058	1367	14.02	+0.68	+0.10	1
0061	59	13.46	+0.585	+0.03	2
0062	59	13.79	+0.58	+0.01	1
0063	59	13.38	+0.55	+0.04	2
0064	59	14.05	+0.70	+0.17	1
0065	2004	12.58	+0.63	-0.02	1
0067	1367	14.12	+0.64	+0.04	1
0068	1367	13.67	+0.57	+0.03	2
0069	1367	13.43	+0.56	-0.01	1
0070	59	11.55	+0.41	-0.035	2
0070	752	11.563	+0.398		5
0071	59	13.62	+0.575	+0.08	2
0072	59	12.40	+0.985	+0.725	2
0072	1367	12.40	+0.99	+0.74	4
0072	2004	12.42	+0.94	+0.81	3
0073	59	13.84	+0.565	+0.065	2
0074	1367	13.70	+0.56	+0.04	1
0075	59	13.41	+0.585	+0.02	3
0075	752	13.444	+0.552		5
0077	59	13.36	+0.58	+0.02	1
0079	59	12.80	+0.79	+0.27	1
0079	695	12.78	+0.74	+0.34	1
0080	59	13.86	+0.59	+0.065	2
0081	59	10.03	-0.073	-0.385	3
0081	100	10.04	-0.06	-0.42	10
0081	700	10.036	-0.079	-0.374	4
0081	752	10.030	-0.083		7
0081	1385	10.02	-0.07	-0.36	1
0081	2004	9.99	-0.07	-0.39	3
0081	2037	10.017	-0.071		18
0082	59	13.90	+0.59	+0.065	2
0083	59	13.24	+0.605	+0.065	2
0083	100	13.20	+0.60	+0.10	6
0084	59	10.59	+1.115	+0.955	2
0084	100	10.54	+1.10	+0.97	4
0084	318	10.54	+1.10		1
0084	700	10.55	+1.092		1
0084	1367	10.51	+1.11	+1.00	3
0084	2004	10.54	+1.16	+1.07	2
0086	59	13.70	+1.02	+0.68	2
0087	59	13.66	+0.545	+0.025	2
0088	1367	12.09	+0.51	+0.29	1
0088	2004	12.21	+0.72	+0.30	2
0089	59	13.41	+0.575	+0.055	2
0090	1367	10.89	+0.43	+0.11	5
0090	2004	10.89	+0.41	+0.15	3
0093	59	14.18	+0.61	+0.09	1
0094	59	12.83	+0.56	+0.07	3
0094	752	12.833	+0.550		11
0095	59	12.67	+0.51	+0.01	3
0095	752	12.678	+0.491		12
0095	1367	12.68	+0.50	+0.06	3
0097	59	14.34	+0.54	-0.05	4
0098	59	12.85	+0.58	+0.065	2
0099	59	13.60	+0.61	+0.16	1
0100	752	13.465	+0.581		10
0100	1367	13.43	+0.58	+0.05	2
0101	59	13.20	+0.56	+0.10	1
0102	2004	12.36	+0.78	+0.27	2
0103	59	13.20	+0.55	+0.065	2
0104	59	11.21	+1.07	+0.89	1
0104	1367	10.98	+1.00	+0.72	1
0104	2004	11.15	+1.06	+0.97	2
0105	59	10.30	+1.260	+1.320	3
0105	100	10.31	+1.25	+1.26	7
0105	308	10.30	+1.25		3
0105	318	10.32	+1.26		1
0105	695	10.30	+1.26	+1.35	1
0105	700	10.300	+1.251		4
0105	752	10.267	+1.243		5
0105	1367	10.30	+1.28	+1.32	2
0105	1385	10.30	+1.275	+1.32	1
0105	2004	10.33	+1.26	+1.27	2
0105	2037	10.282	+1.262		15
0106	59	13.09	+0.565	+0.03	2
0106	752	13.062	+0.563		16
0106	1367	13.09	+0.56		1
0107	59	13.92	+0.59	+0.07	1
0108	59	9.72	+1.38	+1.545	3
0108	100	9.68	+1.37		1
0108	308	9.71	+1.36		3
0108	752	9.662	+1.362		14
0108	1367	9.69	+1.38	+1.63	5
0108	2004	9.72	+1.40	+1.46	4
0109	59	13.54	+0.58	+0.04	2
0110	59	13.61	+0.52	+0.07	1
0111	59	12.74	+0.56	+0.045	2
0111	752	12.741	+0.556		14
0112	59	13.28	+0.58	+0.09	1
0113	1367	13.32	+0.60	+0.10	1
0114	59	13.44	+0.57	+0.06	1
0115	59	12.65	+0.63	+0.12	2
0116	1367	14.00	+0.73	+0.19	1
0117	59	12.61	+0.77	+0.28	3
0117	700	12.68	+0.767	+0.269	1
0117	752	12.632	+0.779		16
0119	59	12.57	+0.59	+0.07	3
0120	59	13.68	+0.58	+0.00	3
0122	59	13.70	+0.55	+0.09	1
0122	1367	13.74	+0.55	+0.09	2
