Galaxy	Type^a	Dist. (Mpc)	M_BH (M_sun)	M_low (M_sun)	M_high (M_sun)	Method, Ref.	sigma_e (km s^-1)	M^0_V,T	M^0_V,bulge^b	R_infl/d_res	Samp.	
Circinus^c,^d	Sb	4.0	1.7 x 10^6	1.4 x 10^6	2.1 x 10^6	Maser, 1	158 +or- 18^d	-17.36	 ... 	6.06	S	
IC1459^e	E4	30.9	2.8 x 10^9	1.6 x 10^9	3.9 x 10^9	Stars, 2	340 +or- 17	-22.57	-22.57 +or- 0.15	0.56	S	
MW^f,^g	Sbc	0.008	4.1 x 10^6	3.5 x 10^6	4.7 x 10^6	Stars, 3	105 +or- 20	 ... 	 ... 	20622	S	
N0221 M32	E2	0.86	3.1 x 10^6	2.5 x 10^6	3.7 x 10^6	Stars, 4	75 +or- 3	-16.83	-16.83 +or- 0.05	12.2	RS	
N0224 M31	Sb	0.80	1.5 x 10^8	1.2 x 10^8	2.4 x 10^8	Stars, 5	160 +or- 8	-21.84	 ... 	113	S	
N0821^h	E4	25.5	4.2 x 10^7	3.4 x 10^7	7.0 x 10^7	Stars, 6	209 +or- 10	-21.24	-21.24 +or- 0.13	0.33	S	
N1023	SB0	12.1	4.6 x 10^7	4.1 x 10^7	5.1 x 10^7	Stars, 7	205 +or- 10	-21.26	-20.61 +or- 0.28	0.81	S	
N1068^g,^i M77	Sb	15.4	8.6 x 10^6	8.3 x 10^6	8.9 x 10^6	Maser, 8	151 +or- 7	-22.17	 ... 	22.5	S	
N1300^g	SB(rs)bc	20.1	7.1 x 10^7	3.6 x 10^7	1.4 x 10^8	Gas, 9	218 +or- 10	-21.34	 ... 	0.65	S	
N1399^j	E1	21.1	5.1 x 10^8	4.4 x 10^8	5.8 x 10^8	Stars, 10	337 +or- 16	-22.13	-22.13 +or- 0.10	1.82	S	
N1399^j	E1	21.1	1.3 x 10^9	6.4 x 10^8	1.8 x 10^9	Stars, 11	337 +or- 16	-22.13	-22.13 +or- 0.10	3.02	S	
N2748^g	Sc	24.9	4.7 x 10^7	8.6 x 10^6	8.5 x 10^7	Gas, 9	115 +or- 5	-20.97	 ... 	1.27	S	
N2778^h	E2	24.2	1.6 x 10^7	5.8 x 10^6	2.5 x 10^7	Stars, 6	175 +or- 8	-19.62	-19.62 +or- 0.13	0.45	S	
N2787^g,^k	SB0	7.9	4.3 x 10^7	3.8 x 10^7	4.7 x 10^7	Gas, 12	189 +or- 9	-18.90	 ... 	1.09	RS	
N3031 M81	Sb	4.1	8.0 x 10^7	6.9 x 10^7	1.0 x 10^8	Gas, 13	143 +or- 7	-21.51	 ... 	6.61	S	
N3115	S0	10.2	9.6 x 10^8	6.7 x 10^8	1.5 x 10^9	Stars, 14	230 +or- 11	-21.25	-21.18 +or- 0.05	13.1	S	
N3227^d,^g	SBa	17.0	1.5 x 10^7	7.0 x 10^6	2.0 x 10^7	Stars, 15	133 +or- 12^d	-20.73	 ... 	0.52	S	
N3245^g	S0	22.1	2.2 x 10^8	1.7 x 10^8	2.7 x 10^8	Gas, 15	205 +or- 10	-20.96	 ... 	1.01	RS	
N3377^h	E6	11.7	1.1 x 10^8	1.0 x 10^8	2.2 x 10^8	Stars, 6	145 +or- 7	-20.11	-20.11 +or- 0.10	4.49	RS	
N3379^h	E0	11.7	1.2 x 10^8	6.2 x 10^7	2.0 x 10^8	Stars, 16	206 +or- 10	-21.10	-21.10 +or- 0.03	2.18	S	
N3384^h,^g	SB0	11.7	1.8 x 10^7	1.5 x 10^7	1.9 x 10^7	Stars, 6	143 +or- 7	-20.50	-19.93 +or- 0.22	0.60	S	
