#name          RA             DEC    distSun(kly) distGalCenter(kly)  m_v    angular_diameter
NGC_103          6.300     61.333    10.505       34.181             8.770     4.739
NGC_129          7.475     60.217     5.290       30.724             7.880    21.004
NGC_146          8.275     63.283     6.849       31.800             6.830     5.992
NGC_188         11.100     85.333     5.023       30.528             9.790    13.684
NGC_366         16.625     62.233     8.441       33.268            11.180     3.746
NGC_381         17.075     61.583     3.464       29.843             8.880     6.248
NGC_433         18.825     60.133     9.322       34.018             8.530     3.151
NGC_436         18.925     58.817    10.183       34.703             9.420     5.528
NGC_457         19.775     58.333     9.299       34.083             7.460    11.853
NGC_581         23.300     60.717     9.214       34.181             6.350     6.705
NGC_637         25.750     64.000     6.324       32.061             8.380     3.546
NGC_654         26.025     61.883     8.098       33.431             8.700     5.123
NGC_663         26.525     61.250     8.053       33.431             8.090    16.319
NGC_869         34.775     57.150     9.472       35.029             5.570    29.204
NGC_884         35.625     57.117     8.098       33.920             6.340    26.846
NGC_1039        40.500     42.783     1.448       28.865             6.820    35.926
NGC_1193        46.450     44.367    19.811       45.368            11.430     2.071
NGC_1245        48.675     47.250     7.211       33.920             9.410    10.122
NGC_1798        77.975     47.617    14.074       41.226             9.800     5.003
NGC_1907        82.000     35.317     5.176       32.844             8.150     5.914
NGC_1931        82.850     34.250     7.665       35.355             9.620     1.565
NGC_2112        88.475      0.400     2.652       30.072             9.510    11.163
NGC_2158        91.850     24.083    16.347       43.998            12.780     5.261
NGC_2168        92.200     24.333     2.802       30.496             5.600    28.494
NGC_2192        93.800     39.850    10.975       38.519             9.900     5.895
NGC_2204        93.925    -17.367    15.186       39.497             9.030    11.836
NGC_2243        97.450    -30.733    12.984       35.845            10.430     4.991
NGC_2244        98.100      4.867     5.854       33.072             5.000    23.059
NGC_2264       100.250      9.883     1.285       28.897             5.540    19.981
NGC_2266       100.800     26.967    12.257       39.758             9.330     5.791
NGC_2355       109.225     13.767     6.246       33.464             8.890     9.209
NGC_2383       111.175    -19.083     9.941       34.377             9.440     5.718
NGC_2384       111.250    -20.983     8.539       33.333             7.300     3.151
NGC_2420       114.625     21.567     8.943       35.942             8.740     9.466
NGC_2421       114.075    -19.400     7.557       32.550             9.120    10.519
NGC_2439       115.200    -30.367    11.967       34.312             8.210    10.260
NGC_2453       116.950    -26.783    10.799       33.985             9.570     5.129
NGC_2477       118.075    -37.467     4.481       29.289             6.300    27.622
NGC_2489       119.050    -29.950     3.744       29.419             9.070     8.175
NGC_2506       120.050     -9.217    12.215       36.627             9.120     6.123
NGC_2516       119.600    -59.150     1.344       27.658             9.250    28.954
NGC_2567       124.650    -29.367     5.320       29.974             7.740     8.810
NGC_2627       129.325    -28.067     4.941       29.648             9.460     8.940
NGC_2658       130.850    -31.367    11.843       32.909            10.190    12.242
NGC_2660       130.575    -46.867     8.982       29.745             9.400     4.144
NGC_2670       131.375    -47.233     4.507       28.278            10.090     8.880
NGC_2682       132.850     11.817     2.590       29.582             6.200    27.667
NGC_2818       139.000    -35.417     9.625       30.561             9.510     8.947
NGC_2910       142.600    -51.117     4.592       27.691             9.010     6.543
NGC_3114       150.675    -59.900     2.975       27.201             7.950    35.018
NGC_3603       168.750    -60.767    12.117       25.832            10.350     2.498
NGC_3766       174.025    -60.417     7.303       25.603             5.220    11.254
NGC_4103       181.675    -60.783     5.603       25.603             8.020     6.323
NGC_4755       193.400    -59.733     5.930       24.984             7.370    10.268
NGC_4815       194.525    -63.067     9.149       23.907             8.880     3.297
NGC_5168       202.800    -59.067     9.276       23.222            10.660     4.605
NGC_5460       211.900    -47.700     1.918       26.419             7.260    23.035
NGC_5606       216.950    -58.367     6.145       23.809             7.540     3.814
NGC_5617       217.425    -59.300     6.344       23.712             9.110     9.686
NGC_5662       218.800    -55.467     2.215       26.158             7.910    11.847
NGC_6005       238.975    -56.600     7.404       32.453             9.660     3.741
NGC_6067       243.300    -53.817     5.747       22.961             7.170    13.209
NGC_6087       244.725    -56.117     2.776       25.408             8.220    11.836
NGC_6134       246.950    -48.867     3.001       25.049             9.520     7.287
NGC_6192       250.100    -42.650     5.597       22.537             8.660     7.493
NGC_6204       251.625    -46.983     3.842       24.201             8.460     5.924
NGC_6231       253.500    -40.217     5.388       22.603             4.950    13.152
NGC_6253       254.750    -51.300     4.938       23.353             8.940     5.518
NGC_6451       267.675    -29.800     6.288       21.428             9.290     7.756
NGC_6475       268.475    -33.217     0.838       26.875             6.150    77.048
NGC_6520       270.825    -26.117     5.218       22.537             8.390     6.833
NGC_6603       274.625    -17.600     5.121       22.766             9.180     4.073
NGC_6611       274.700    -12.250     5.388       22.635             9.850     7.491
NGC_6633       276.925      6.567     1.135       26.810             8.730    27.364
NGC_6649       278.350     -9.617     4.553       23.548             9.300     5.393
NGC_6705       282.775     -5.733     6.442       22.211             7.200     9.469
NGC_6709       282.875     10.333     4.087       24.853             7.360    12.374
NGC_6716       283.650    -18.133     2.185       25.668             6.330     8.877
NGC_6755       286.950      4.233     6.552       22.961            10.790    13.227
NGC_6791       290.200     37.850    11.572       26.223             9.790    12.887
NGC_6823       295.800     23.300     5.134       25.505             8.490    11.838
NGC_6871       301.475     35.767     6.037       26.549             4.880    20.392
NGC_6913       305.975     38.533     3.943       27.104             8.060     6.711
NGC_7044       318.250     42.483     9.615       28.702            10.700     7.475
NGC_7128       326.000     53.717     8.128       29.876            10.110     3.545
NGC_7142       326.475     65.800     4.436       29.191             9.680     8.948
NGC_7235       333.150     57.283     9.462       31.213             7.560     4.728
NGC_7245       333.825     54.333     7.175       29.974            10.290     4.938
NGC_7380       341.750     58.100     4.661       29.419             6.470    12.004
NGC_7419       343.575     60.833     4.361       29.452            11.050     4.217
NGC_7510       347.875     60.567     7.968       31.474             9.230     3.954
NGC_7762       357.475     68.017     3.392       29.419            10.400    11.040
NGC_7789       359.250     56.717     6.373       30.985             7.770    13.934
NGC_7790       359.600     61.200    12.603       35.225             9.600     7.892
IC_348          56.150     32.300     0.978       28.604             7.640     6.532
IC_1311        302.600     41.217    18.555       29.909            10.840     7.886
IC_1805         38.175     61.450     7.136       33.137             6.050    20.724
IC_2602        160.800    -63.617     0.444       27.593             6.350    53.841
IC_4651        261.175    -48.083     2.515       25.408             8.500    11.816
IC_4665        266.550      5.717     1.086       26.843             4.710    45.114
IC_4996        304.100     37.650     5.812       26.843             7.030     4.997
Arp-Madore_2   114.925    -32.550    29.507       47.456            12.600    25.330
Berkeley_1       2.425     60.417     3.203       29.354             9.710     4.796
Berkeley_2       6.300     60.383    14.909       37.410            11.940     3.948
Berkeley_7      28.550     62.367     7.472       33.040             9.750     3.946
Berkeley_14     75.050     43.467    17.596       44.846             8.750     8.551
Berkeley_17     80.150     30.600     8.382       36.073            11.710    12.427
Berkeley_21     87.925     21.783    10.554       38.225            10.100     6.321
Berkeley_22     89.600      7.833    20.437       47.358            12.710     2.101
Berkeley_28    102.375      3.000    12.632       39.139            11.500     4.997
Berkeley_29    103.275     16.917    68.695       95.433            12.740     2.959
Berkeley_31    103.725      8.333    24.488       50.848            11.900     5.197
Berkeley_32    104.350      6.500    12.792       39.465             9.810     6.749
Berkeley_33    104.450    -12.783    16.999       35.975             9.720     5.752
Berkeley_39    116.675     -3.417    13.457       38.519             9.840    10.848
Berkeley_42    286.275      1.867     2.942       25.440            12.560     4.993
Berkeley_58      0.050     60.967     7.136       31.572             9.140     6.913
Berkeley_60      4.425     60.950     6.813       31.572            11.310     4.147
Berkeley_62     15.275     63.950     7.815       32.746             9.010    10.201
Berkeley_64     35.250     65.883    11.334       36.269            13.860     3.561
Berkeley_69     81.150     32.633    11.334       39.008            11.670     3.947
Berkeley_79    281.300     -0.800     5.753       22.994            12.740     9.101
Berkeley_81    285.375      0.517     6.660       22.472            10.740     7.003
Berkeley_86    305.100     38.700     3.787       27.104             6.080     6.899
Berkeley_93    329.050     63.950    19.879       38.062            14.720     3.999
Berkeley_99    350.400     71.750    15.792       37.345            11.870     5.722
Bochum_2       102.200      0.383    19.361       45.270             9.150     2.102
Collinder_74    87.125      7.400     7.352       34.670            10.320     3.904
Collinder_272  202.650    -60.733     7.368       23.940             7.850     9.861
Dolidze_25     101.250      0.300    16.347       42.466            10.450    22.998
King_2          12.775     58.183    20.251       42.270            12.520     4.468
King_7          59.750     51.800     7.958       34.833            11.030     4.931
King_10        343.750     59.167    11.732       33.366            10.900     4.215
King_11        356.950     68.617     7.006       31.539            12.810     3.937
King_15          8.250     61.850     9.005       33.235            10.010     2.503
Ruprecht_32    116.250    -24.500    13.565       36.203            10.000     5.786
Ruprecht_79    145.250    -52.200     8.839       28.017             9.690    10.998
Trumpler_1      23.900     61.300     8.382       33.561             8.830     3.946
Trumpler_5      99.175      9.450     9.648       36.790             8.490     7.554
Trumpler_11    151.225    -60.400     9.625       27.006             9.220     4.998
Trumpler_14    160.975    -58.450     7.916       26.451             7.040     5.255
